festival_kr,festival,place,place_en,begin_date,end_date,contents,contents_en,organizer,organizer_en,host,host_en,sponsor,sponsor_en,phone,website,additional,address,address_old_style,latitude,longitude,updated,data_organization_code,data_organization,data_organization_en,address_en,address_old_en
강릉커피축제,Gangneung Coffee Festival,강릉대도호부 관아지 등,"Gangneungdaedohobu government office, etc.",2022-10-06,2022-10-09,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,"Coffee contest (barista + hand drip + cupping + macaron) + coffee experience (roasting + extraction + cupping + crafts, etc.) + exhibition + performance, etc.",강릉문화재단,Gangneung Cultural Foundation,강원도 강릉시청,"Gangneung City Hall, Gangwon-do",문화체육관광부+강원도청,"Ministry of Culture, Sports and Tourism + Gangwon Provincial Office",033-647-6802,http://www.coffeefestival.net,프로그램+행사장안내 등,강원도 강릉시 임영로131번길 6 (용강동),강원도 강릉시 용강동 58-1,37.75294455,128.8919029,2022-12-07,4200000,강원특별자치도 강릉시,"Gangneung City, Gangwon Special Self-Governing Province","6, Imyeong-ro 131beon-gil, Gangneung-si, Gangwon-do (Yonggang-dong)","58-1 Yonggang-dong, Gangneung-si, Gangwon-do"
전국생활문화축제 in강릉,National Life Culture Festival in Gangneung,강릉명주예술마당,Gangneung Myeongju Arts Center,2022-10-27,2022-10-30,전국 생활문화 활동 발표+기획 프로그램 등,"Announcement of national lifestyle and cultural activities + planning programs, etc.",강릉문화재단,Gangneung Cultural Foundation,강원도 강릉시청,"Gangneung City Hall, Gangwon-do",지역문화진흥원,Local Culture Promotion Agency,033-647-6808,,,강원도 강릉시 경강로 2021번길9-1,강원도 강릉시 명주동 49-1,37.75040333,128.8898121,2022-12-07,4200000,강원특별자치도 강릉시,"Gangneung City, Gangwon Special Self-Governing Province","9-1, Gyeonggang-ro 2021beon-gil, Gangneung-si, Gangwon-do","49-1 Myeongju-dong, Gangneung-si, Gangwon-do"
2022 강릉와인축제,2022 Gangneung Wine Festival,강릉 월화거리 일원(문선빌딩 방면),Gangneung Wolhwa Street area (toward Munseon Building),2022-12-09,2022-12-11,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,"Challenge Wine Golden Bell + Sunset Wine Hour + Tasting Zone, etc.",강릉문화재단,Gangneung Cultural Foundation,강원도 강릉시청,"Gangneung City Hall, Gangwon-do",강원도청,Gangwon Provincial Office,033-647-6802,https://www.gncaf.or.kr/contents.asp?page=482,축제소개+사진자료 등,강원도 강릉시 경강로 2111,강원도 강릉시 임당동 106-1,37.75589225,128.8974693,2022-12-07,4200000,강원특별자치도 강릉시,"Gangneung City, Gangwon Special Self-Governing Province","2111 Gyeonggang-ro, Gangneung-si, Gangwon-do","106-1 Imdang-dong, Gangneung-si, Gangwon-do"
2022 강릉누들축제,2022 Gangneung Noodle Festival,강릉 월화거리 일원(홈플러스 방면),Gangneung Wolhwa Street area (Homeplus direction),2022-12-16,2022-12-18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등","Noodle cooking show, cooking class, tasting party, making large sujebi, etc.",강원도 강릉시청,"Gangneung City Hall, Gangwon-do",강원도 강릉시청,"Gangneung City Hall, Gangwon-do",강원도 강릉시청,"Gangneung City Hall, Gangwon-do",033-640-5130,,,강원도 강릉시 경강로 2112,강원도 강릉시 임당동 113-2,37.75538612,128.8981649,2022-12-07,4200000,강원특별자치도 강릉시,"Gangneung City, Gangwon Special Self-Governing Province","2112 Gyeonggang-ro, Gangneung-si, Gangwon-do","113-2, Imdang-dong, Gangneung-si, Gangwon-do"
군위 삼장군단오축제,Gunwi Samjanggun Dano Festival,효령면 고지바위권역다목적센터 일원,Hyoryeong-myeon Gojibawi Area Multipurpose Center area,2022-06-03,2022-06-03,단오축제,Dano Festival,군위문화원,Gunwi Cultural Center,군위문화원,Gunwi Cultural Center,대구광역시청+대구광역시 군위군청,Daegu Metropolitan City Hall + Daegu Metropolitan City Gunwi County Office,054-380-6866,,,대구광역시 군위군 효령면 장군당 1길 24-6,대구광역시 군위군 효령면 장군리 116-3,,,2023-07-13,5140000,경상북도 군위군,"Gunwi-gun, Gyeongsangbuk-do","24-6, Janggundang 1-gil, Hyoryeong-myeon, Gunwi-gun, Daegu Metropolitan City","116-3, Janggun-ri, Hyoryeong-myeon, Gunwi-gun, Daegu Metropolitan City"
김수환추기경 사랑과 나눔 문화축전,Cardinal Kim Soo-hwan’s Love and Sharing Cultural Festival,김수환추기경 사랑과 나눔공원 일원,Cardinal Kim Soo-hwan Love and Sharing Park area,2022-10-29,2022-10-29,김수환추기경 문화축전,Cardinal Kim Soo-hwan Cultural Festival,매일신문사,Maeil Newspaper,매일신문사,Maeil Newspaper,대구광역시청+대구광역시 군위군청,Daegu Metropolitan City Hall + Daegu Metropolitan City Gunwi County Office,054-380-6065,,,대구광역시 군위군 군위읍 군위금성로 270,대구광역시 군위군 군위읍 용대리 산 66-5,,,2023-07-13,5140000,경상북도 군위군,"Gunwi-gun, Gyeongsangbuk-do","270 Gunwi Geumseong-ro, Gunwi-eup, Gunwi-gun, Daegu","66-5, Yongdae-ri, Gunwi-eup, Gunwi-gun, Daegu Metropolitan City"
제17회 구리 코스모스 축제,17th Guri Cosmos Festival,구리한강 시민공원,Guri Hangang Citizen’s Park,2017-09-22,2017-09-24,무대공연+체험부스운영+먹거리 체험+꽃 관람,Stage performance + experience booth operation + food experience + flower viewing,(사)한국예총 구리지회,Guri Branch of the Korean Federation of Arts and Sciences,경기도 구리시청,Gyeonggi-do Guri City Hall,경기도+한국관광공사+경기관광공사,Gyeonggi Province + Korea Tourism Organization + Gyeonggi Tourism Organization,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2023-12-04,3980000,경기도 구리시,"Guri-si, Gyeonggi-do","249 Cosmos-gil 14beon-gil, Guri-si, Gyeonggi-do (Topyeong-dong)","810 Topyeong-dong, Guri-si, Gyeonggi-do"
제18회 구리 유채꽃 축제,18th Guri Rape Flower Festival,구리한강 시민공원,Guri Hangang Citizen’s Park,2018-05-04,2018-05-06,무대공연+체험부스운영+먹거리 체험+꽃 관람,Stage performance + experience booth operation + food experience + flower viewing,(사)한국예총 구리지회,Guri Branch of the Korean Federation of Arts and Sciences,경기도 구리시청,Gyeonggi-do Guri City Hall,경기도+한국관광공사+경기관광공사,Gyeonggi Province + Korea Tourism Organization + Gyeonggi Tourism Organization,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2023-12-04,3980000,경기도 구리시,"Guri-si, Gyeonggi-do","249 Cosmos-gil 14beon-gil, Guri-si, Gyeonggi-do (Topyeong-dong)","810 Topyeong-dong, Guri-si, Gyeonggi-do"
제18회 구리 코스모스 축제,18th Guri Cosmos Festival,구리한강 시민공원,Guri Hangang Citizen’s Park,2018-10-05,2018-10-07,무대공연+체험부스운영+먹거리 체험+꽃 관람,Stage performance + experience booth operation + food experience + flower viewing,(사)한국예총 구리지회,Guri Branch of the Korean Federation of Arts and Sciences,경기도 구리시청,Gyeonggi-do Guri City Hall,경기도+한국관광공사+경기관광공사,Gyeonggi Province + Korea Tourism Organization + Gyeonggi Tourism Organization,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2023-12-04,3980000,경기도 구리시,"Guri-si, Gyeonggi-do","249 Cosmos-gil 14beon-gil, Guri-si, Gyeonggi-do (Topyeong-dong)","810 Topyeong-dong, Guri-si, Gyeonggi-do"
제19회 구리 유채꽃 축제,19th Guri Rape Flower Festival,구리한강 시민공원 및 시가지 일원,Guri Hangang Citizen’s Park and downtown area,2019-05-10,2019-05-12,한강 꽃단지 체험 및 시가지 공연 등,"Han River flower complex experience and city performances, etc.",(사)한국예총 구리지회,Guri Branch of the Korean Federation of Arts and Sciences,경기도 구리시청,Gyeonggi-do Guri City Hall,경기도+한국관광공사+경기관광공사,Gyeonggi Province + Korea Tourism Organization + Gyeonggi Tourism Organization,031-550-2065,http://www.guri.go.kr,,경기도 구리시 코스모스길14번길 249(토평동),경기도 구리시 토평동 810,37.574478,127.132863,2023-12-04,3980000,경기도 구리시,"Guri-si, Gyeonggi-do","249 Cosmos-gil 14beon-gil, Guri-si, Gyeonggi-do (Topyeong-dong)","810 Topyeong-dong, Guri-si, Gyeonggi-do"
