year,month,country_kr,visa,no_int_student,iso3c,country
2022,1,가나,Language,24,GHA,Ghana
2022,1,가나,Degree,229,GHA,Ghana
2022,1,가봉,Language,11,GAB,Gabon
2022,1,가봉,Degree,24,GAB,Gabon
2022,1,가이아나,Degree,2,GUY,Guyana
2022,1,감비아,Degree,8,GMB,Gambia
2022,1,과테말라,Language,5,GTM,Guatemala
2022,1,과테말라,Degree,15,GTM,Guatemala
2022,1,그리스,Language,5,GRC,Greece
2022,1,그리스,Degree,9,GRC,Greece
2022,1,기니,Language,5,GIN,Guinea
2022,1,기니,Degree,11,GIN,Guinea
2022,1,나이지리아,Language,32,NGA,Nigeria
2022,1,나이지리아,Degree,291,NGA,Nigeria
2022,1,남수단공화국,Degree,13,SSD,South Sudan
2022,1,남아프리카공화국,Language,4,ZAF,South Africa
2022,1,남아프리카공화국,Degree,14,ZAF,South Africa
2022,1,네덜란드,Language,43,NLD,Netherlands
2022,1,네덜란드,Degree,89,NLD,Netherlands
2022,1,네팔,Language,181,NPL,Nepal
2022,1,네팔,Degree,2599,NPL,Nepal
2022,1,노르웨이,Language,39,NOR,Norway
2022,1,노르웨이,Degree,73,NOR,Norway
2022,1,뉴질랜드,Language,2,NZL,New Zealand
2022,1,뉴질랜드,Degree,8,NZL,New Zealand
2022,1,니제르,Degree,1,NER,Niger
2022,1,니카라과,Language,2,NIC,Nicaragua
2022,1,니카라과,Degree,3,NIC,Nicaragua
2022,1,덴마크,Language,9,DNK,Denmark
2022,1,덴마크,Degree,32,DNK,Denmark
2022,1,도미니카공화국,Language,9,DOM,Dominican Republic
2022,1,도미니카공화국,Degree,24,DOM,Dominican Republic
2022,1,도미니카연방,Language,1,DMA,Dominica
2022,1,독일,Language,162,DEU,Germany
2022,1,독일,Degree,492,DEU,Germany
2022,1,라오스,Language,24,LAO,Laos
2022,1,라오스,Degree,93,LAO,Laos
2022,1,라이베리아,Language,5,LBR,Liberia
2022,1,라이베리아,Degree,23,LBR,Liberia
2022,1,라트비아,Language,6,LVA,Latvia
2022,1,라트비아,Degree,12,LVA,Latvia
2022,1,러시아연방,Language,612,RUS,Russia
2022,1,러시아연방,Degree,637,RUS,Russia
2022,1,레바논,Language,3,LBN,Lebanon
2022,1,레바논,Degree,2,LBN,Lebanon
2022,1,레소토,Degree,2,LSO,Lesotho
2022,1,루마니아,Language,19,ROU,Romania
2022,1,루마니아,Degree,44,ROU,Romania
2022,1,룩셈부르크,Language,3,LUX,Luxembourg
2022,1,룩셈부르크,Degree,6,LUX,Luxembourg
2022,1,르완다,Language,10,RWA,Rwanda
2022,1,르완다,Degree,136,RWA,Rwanda
2022,1,리비아,Language,3,LBY,Libya
2022,1,리비아,Degree,6,LBY,Libya
2022,1,리투아니아,Language,7,LTU,Lithuania
2022,1,리투아니아,Degree,36,LTU,Lithuania
2022,1,마다가스카르,Language,3,MDG,Madagascar
2022,1,마다가스카르,Degree,11,MDG,Madagascar
2022,1,마카오,Language,13,MAC,Macao SAR China
2022,1,마카오,Degree,19,MAC,Macao SAR China
2022,1,마케도니아,Degree,2,MKD,North Macedonia
2022,1,말라위,Language,1,MWI,Malawi
2022,1,말라위,Degree,9,MWI,Malawi
2022,1,말레이시아,Language,171,MYS,Malaysia
2022,1,말레이시아,Degree,632,MYS,Malaysia
2022,1,말리,Language,8,MLI,Mali
2022,1,말리,Degree,25,MLI,Mali
2022,1,멕시코,Language,86,MEX,Mexico
2022,1,멕시코,Degree,128,MEX,Mexico
2022,1,모로코,Language,104,MAR,Morocco
2022,1,모로코,Degree,99,MAR,Morocco
2022,1,모리셔스,Language,1,MUS,Mauritius
2022,1,모리셔스,Degree,3,MUS,Mauritius
2022,1,모리타니,Degree,1,MRT,Mauritania
2022,1,모잠비크,Language,5,MOZ,Mozambique
2022,1,모잠비크,Degree,12,MOZ,Mozambique
2022,1,몬테네그로,Language,1,MNE,Montenegro
2022,1,몬테네그로,Degree,2,MNE,Montenegro
2022,1,몰도바,Language,2,MDA,Moldova
2022,1,몰도바,Degree,11,MDA,Moldova
2022,1,몰타,Degree,1,MLT,Malta
2022,1,몽골,Language,3074,MNG,Mongolia
2022,1,몽골,Degree,5780,MNG,Mongolia
2022,1,무국적,Degree,1,NA,"Stateless, refugee, or other"
2022,1,미국,Language,352,USA,United States
2022,1,미국,Degree,815,USA,United States
2022,1,미등록국가,Degree,9,NA,"Stateless, refugee, or other"
2022,1,미얀마,Language,716,MMR,Myanmar (Burma)
2022,1,미얀마,Degree,810,MMR,Myanmar (Burma)
2022,1,바누아투,Degree,2,VUT,Vanuatu
2022,1,바레인,Language,2,BHR,Bahrain
2022,1,바레인,Degree,4,BHR,Bahrain
2022,1,바베이도스,Language,2,BRB,Barbados
2022,1,바베이도스,Degree,1,BRB,Barbados
2022,1,바하마,Degree,4,BHS,Bahamas
2022,1,방글라데시,Language,11,BGD,Bangladesh
2022,1,방글라데시,Language,46,BGD,Bangladesh
2022,1,방글라데시,Degree,1233,BGD,Bangladesh
2022,1,베냉,Language,1,BEN,Benin
2022,1,베냉,Degree,6,BEN,Benin
2022,1,베네수엘라,Language,3,VEN,Venezuela
2022,1,베네수엘라,Degree,13,VEN,Venezuela
2022,1,베트남,Language,3,VNM,Vietnam
2022,1,베트남,Language,32690,VNM,Vietnam
2022,1,베트남,Degree,30915,VNM,Vietnam
2022,1,벨기에,Language,23,BEL,Belgium
2022,1,벨기에,Degree,37,BEL,Belgium
2022,1,벨로루시,Language,24,BLR,Belarus
2022,1,벨로루시,Degree,36,BLR,Belarus
2022,1,벨리즈,Language,1,BLZ,Belize
2022,1,벨리즈,Degree,2,BLZ,Belize
2022,1,보스니아헤르체고비나,Language,1,BIH,Bosnia & Herzegovina
2022,1,보스니아헤르체고비나,Degree,5,BIH,Bosnia & Herzegovina
2022,1,보츠와나,Language,3,BWA,Botswana
2022,1,보츠와나,Degree,6,BWA,Botswana
2022,1,볼리비아,Language,6,BOL,Bolivia
2022,1,볼리비아,Degree,16,BOL,Bolivia
