Baseyear,Type of school,Establishment classification,Region,Status,School,total,degree_subtotal,Humanities and social science field,Natural science field,Engineering field,Arts and physical education field,Medicine field,Students who co-operate curriculum(B),training_subtotal,Students for language course,Exchange students,Visiting students,Other trainees,No. of students above TOPIK Level 4 (art and physical education class 3),No. of students above TOEFL 530 (English track),English-speaking foreign students,Rate of students with satisfactory language proficiency (%)(E/A)x100
2023,University,Private,Chungcheongnam-do,Previous,Korea University of Technology and Education _Principal university,37,13,6,0,7,0,0,0,24,12,12,0,0,8,0,0,61.5
2023,University,Private,Gyeonggi-do,Previous,ACTS University _Principal university,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeonggi-do,Previous,Ajou University _Principal university,"1,300",496,387,5,104,0,0,0,804,613,191,0,0,242,2,0,49.2
2023,University,National,Gyeongsangbuk-do,Previous,Andong National University _Principal university,30,17,9,1,6,1,0,0,13,12,1,0,0,11,0,0,64.7
2023,University,Private,Incheon,Previous,Anyang University _Campus 2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeonggi-do,Previous,Anyang University _Principal university,28,11,7,0,3,1,0,0,17,0,17,0,0,3,0,0,27.3
2023,University,Private,Chungcheongnam-do,Previous,Baekseok University _Principal university,244,212,119,11,0,82,0,0,32,20,12,0,0,42,0,0,19.8
2023,University,Private,Gyeongsangnam-do,Previous,Busan Presbyterian University _Principal university,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,100
2023,University,Private,Busan,Previous,Busan University Of Foreign Studies _Principal university,"1,003",610,552,0,51,7,0,0,393,120,273,0,0,242,0,0,39.7
2023,Cyber University (University),Private,Busan,Previous,Busandigital University _Principal university,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeonggi-do,Previous,CHA University _Principal university,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,100
2023,University,Private,Gyeonggi-do,Previous,Calvin University _Principal university,324,297,203,94,0,0,0,0,27,27,0,0,0,3,71,0,24.9
2023,University,Private,Chungcheongbuk-do,Previous,Catholic Kkottongnae University _Principal university,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gangwon-do,Previous,Catholic Kwandong University _Principal university,83,37,29,1,4,0,3,1,45,45,0,0,0,20,0,0,54.1
2023,University,Private,Busan,Previous,Catholic University Of Pusan _Principal university,237,237,218,8,11,0,0,0,0,0,0,0,0,22,0,0,9.3
2023,University,Private,Gyeongsangnam-do,Previous,Changshin University _Principal university,143,31,27,0,4,0,0,75,37,37,0,0,0,10,0,0,32.3
