year,type_of_school,classification,region,school,field,number_of_students
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Humanities and social science field,6
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Natural science field,0
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Engineering field,7
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Arts and physical education field,0
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Medicine field,0
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Students for language course,12
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Exchange students,12
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Visiting students,0
2023,University,Private,Chungcheongnam-do,Korea University of Technology and Education ,Other trainees,0
2023,University,Private,Gyeonggi-do,ACTS University ,Humanities and social science field,2
2023,University,Private,Gyeonggi-do,ACTS University ,Natural science field,0
2023,University,Private,Gyeonggi-do,ACTS University ,Engineering field,0
2023,University,Private,Gyeonggi-do,ACTS University ,Arts and physical education field,0
2023,University,Private,Gyeonggi-do,ACTS University ,Medicine field,0
2023,University,Private,Gyeonggi-do,ACTS University ,Students for language course,0
2023,University,Private,Gyeonggi-do,ACTS University ,Exchange students,0
2023,University,Private,Gyeonggi-do,ACTS University ,Visiting students,0
2023,University,Private,Gyeonggi-do,ACTS University ,Other trainees,0
2023,University,Private,Gyeonggi-do,Ajou University ,Humanities and social science field,387
2023,University,Private,Gyeonggi-do,Ajou University ,Natural science field,5
2023,University,Private,Gyeonggi-do,Ajou University ,Engineering field,104
2023,University,Private,Gyeonggi-do,Ajou University ,Arts and physical education field,0
2023,University,Private,Gyeonggi-do,Ajou University ,Medicine field,0
2023,University,Private,Gyeonggi-do,Ajou University ,Students for language course,613
2023,University,Private,Gyeonggi-do,Ajou University ,Exchange students,191
2023,University,Private,Gyeonggi-do,Ajou University ,Visiting students,0
2023,University,Private,Gyeonggi-do,Ajou University ,Other trainees,0
2023,University,National,Gyeongsangbuk-do,Andong National University ,Humanities and social science field,9
2023,University,National,Gyeongsangbuk-do,Andong National University ,Natural science field,1
2023,University,National,Gyeongsangbuk-do,Andong National University ,Engineering field,6
2023,University,National,Gyeongsangbuk-do,Andong National University ,Arts and physical education field,1
2023,University,National,Gyeongsangbuk-do,Andong National University ,Medicine field,0
2023,University,National,Gyeongsangbuk-do,Andong National University ,Students for language course,12
2023,University,National,Gyeongsangbuk-do,Andong National University ,Exchange students,1
2023,University,National,Gyeongsangbuk-do,Andong National University ,Visiting students,0
2023,University,National,Gyeongsangbuk-do,Andong National University ,Other trainees,0
2023,University,Private,Incheon,Anyang University _Campus 2,Humanities and social science field,0
2023,University,Private,Incheon,Anyang University _Campus 2,Natural science field,0
2023,University,Private,Incheon,Anyang University _Campus 2,Engineering field,1
2023,University,Private,Incheon,Anyang University _Campus 2,Arts and physical education field,0
2023,University,Private,Incheon,Anyang University _Campus 2,Medicine field,0
2023,University,Private,Incheon,Anyang University _Campus 2,Students for language course,0
2023,University,Private,Incheon,Anyang University _Campus 2,Exchange students,0
2023,University,Private,Incheon,Anyang University _Campus 2,Visiting students,0
2023,University,Private,Incheon,Anyang University _Campus 2,Other trainees,0
2023,University,Private,Gyeonggi-do,Anyang University ,Humanities and social science field,7
2023,University,Private,Gyeonggi-do,Anyang University ,Natural science field,0
2023,University,Private,Gyeonggi-do,Anyang University ,Engineering field,3
2023,University,Private,Gyeonggi-do,Anyang University ,Arts and physical education field,1
2023,University,Private,Gyeonggi-do,Anyang University ,Medicine field,0
2023,University,Private,Gyeonggi-do,Anyang University ,Students for language course,0
2023,University,Private,Gyeonggi-do,Anyang University ,Exchange students,17
2023,University,Private,Gyeonggi-do,Anyang University ,Visiting students,0
2023,University,Private,Gyeonggi-do,Anyang University ,Other trainees,0
2023,University,Private,Chungcheongnam-do,Baekseok University ,Humanities and social science field,119
2023,University,Private,Chungcheongnam-do,Baekseok University ,Natural science field,11
2023,University,Private,Chungcheongnam-do,Baekseok University ,Engineering field,0
